libpthread.so.0->free(0x5582423b5920)                                        = <void> <0.000121>
libpthread.so.0->realloc(0, 32)                                              = 0x5582423b5a20 <0.000082>
libX11.so.6->malloc(40)                                                      = 0x5582423b7220 <0.000078>
libxcb.so.1->malloc(1)                                                       = 0x5582423bd1a0 <0.000048>
libX11.so.6->free(0x5582423bd1a0)                                            = <void> <0.000047>
libxcb.so.1->malloc(1)                                                       = 0x5582423bd1a0 <0.000044>
libxcb.so.1->malloc(30)                                                      = 0x5582423bd1c0 <0.000045>
libxcb.so.1->free(0x5582423bd1c0)                                            = <void> <0.000100>
libxcb.so.1->malloc(124)                                                     = 0x5582423bd1f0 <0.000074>
libXau.so.6->malloc(6)                                                       = 0x5582423be290 <0.000072>
libXau.so.6->free(0x5582423be340)                                            = <void> <0.000071>
libxcb.so.1->malloc(18)                                                      = 0x5582423be380 <0.000072>
libxcb.so.1->free(0x5582423bd1f0)                                            = <void> <0.000070>
libxcb.so.1->malloc(124)                                                     = 0x5582423bd1f0 <0.000068>
libxcb.so.1->malloc(16)                                                      = 0x5582423be360 <0.000068>
libxcb.so.1->free(0x5582423bd1f0)                                            = <void> <0.000068>
libxcb.so.1->malloc(16)                                                      = 0x5582423be2d0 <0.000068>
libxcb.so.1->malloc(8)                                                       = 0x5582423be2b0 <0.000068>
libxcb.so.1->realloc(0x5582423be2b0, 3380)                                   = 0x5582423bd280 <0.000080>
libxcb.so.1->free(0x5582423be380)                                            = <void> <0.000069>
libxcb.so.1->free(0x5582423be360)                                            = <void> <0.000068>
libxcb.so.1->free(0x5582423bd1a0)                                            = <void> <0.000069>
libxcb.so.1->free(0)                                                         = <void> <0.000068>
libxcb.so.1->realloc(0, 32)                                                  = 0x5582423be250 <0.000071>
libxcb.so.1->malloc(32)                                                      = 0x5582423c9430 <0.000080>
libxcb.so.1->malloc(32)                                                      = 0x5582423c9460 <0.000070>
libxcb.so.1->malloc(16)                                                      = 0x5582423be380 <0.000067>
libxcb.so.1->free(0x5582423be380)                                            = <void> <0.000070>
libxcb.so.1->malloc(32)                                                      = 0x5582423c9490 <0.000068>
libxcb.so.1->free(0x5582423c9430)                                            = <void> <0.000069>
libxcb.so.1->malloc(32)                                                      = 0x5582423c9430 <0.000069>
libxcb.so.1->malloc(16)                                                      = 0x5582423be380 <0.000068>
libxcb.so.1->free(0x5582423be380)                                            = <void> <0.000069>
libxcb.so.1->free(0x5582423c9430)                                            = <void> <0.000069>
libxcb.so.1->free(0x5582423c9490)                                            = <void> <0.000070>
libxcb.so.1->malloc(5252)                                                    = 0x5582423c9570 <0.000073>
libxcb.so.1->malloc(16)                                                      = 0x5582423be2b0 <0.000069>
libxcb.so.1->free(0x5582423be2b0)                                            = <void> <0.000068>
libxcb.so.1->malloc(32)                                                      = 0x5582423c9490 <0.000068>
