Using Bubble Sort
10000, 95
20000, 465
30000, 1133
40000, 2102
50000, 3231
60000, 4707
70000, 6412
80000, 8531
90000, 10711
100000, 13279
110000, 16042
Using Insertion Sort
10000, 32
20000, 131
30000, 298
40000, 502
50000, 736
60000, 1059
70000, 1454
80000, 1859
90000, 2360
100000, 2921
110000, 3533
Using Selection Sort
10000, 39
20000, 147
30000, 320
40000, 567
50000, 891
60000, 1265
70000, 1754
80000, 2241
90000, 3030
100000, 3660
110000, 4285
Using Quicksort
1000000, 89
2000000, 188
3000000, 300
4000000, 394
5000000, 486
6000000, 601
7000000, 697
8000000, 816
9000000, 917
10000000, 1005
11000000, 1157
