Using Bubble Sort
10000, 959
20000, 3816
30000, 8274
40000, 14615
50000, 22647
60000, 33173
70000, 48258
80000, 63900
90000, 81425
100000, 97952
110000, 119347
Using Insertion Sort
10000, 316
20000, 1297
30000, 2861
40000, 4985
50000, 7850
60000, 11299
70000, 15217
80000, 18680
90000, 24702
100000, 30416
110000, 36943
Using Selection Sort
10000, 723
20000, 2983
30000, 6604
40000, 11040
50000, 18094
60000, 26162
70000, 35616
80000, 46126
90000, 60395
100000, 71215
110000, 88560
Using Quicksort
1000000, 146
2000000, 311
3000000, 468
4000000, 635
5000000, 825
6000000, 989
7000000, 1165
8000000, 1243
9000000, 1400
10000000, 1592
11000000, 1754
